county,rain19_mean,rain20_mean,rain21_mean,rain22_mean,rain23_mean,rain24_mean,elev_mean,abs_change_19_24,pct_change_19_24,pct_change_peryr,avg_19_24
Alachua,1468.34,1416.71,1698.77,1501.37,1512.15,1438.05,37.89,-30.29,-2.00,0,1505.90
Baker,1336.69,1561.41,1694.52,1323.95,1542.39,1605.58,44.22,268.89,20.00,4,1510.76
Bay,1430.49,1760.66,2103.81,1583.98,1497.61,1590.55,20.78,160.05,11.00,2,1661.18
Bradford,1333.70,1364.65,1638.41,1406.70,1497.86,1442.80,48.25,109.09,8.00,2,1447.35
Brevard,1704.79,1650.83,1405.85,1606.03,1678.04,1446.48,8.04,-258.31,-15.00,-3,1582.00
Broward,1665.42,2158.83,1383.98,1599.09,1882.98,1658.55,6.61,-6.88,0.00,0,1724.81
Calhoun,1379.87,1831.19,2007.31,1710.23,1514.25,1678.94,36.24,299.07,22.00,4,1686.96
Charlotte,1509.49,1573.00,1388.72,1594.57,1253.03,1675.09,10.21,165.60,11.00,2,1498.98
Citrus,1715.51,1381.55,1596.29,1498.23,1303.98,1667.54,21.31,-47.97,-3.00,-1,1527.18
Clay,1320.28,1423.69,1587.86,1416.12,1485.85,1472.98,33.74,152.69,12.00,2,1451.13
Collier,1543.37,1644.45,1418.18,1527.93,1181.71,1760.98,8.98,217.61,14.00,3,1512.77
Columbia,1334.49,1548.72,1704.95,1349.21,1541.23,1560.50,38.40,226.01,17.00,3,1506.52
Desoto,1398.31,1457.40,1241.32,1552.77,1209.50,1512.64,19.87,114.33,8.00,2,1395.32
Dixie,1588.63,1380.44,1758.20,1355.27,1585.04,1463.52,18.16,-125.11,-8.00,-2,1521.85
Duval,1303.95,1500.51,1582.39,1309.30,1428.21,1562.01,14.14,258.06,20.00,4,1447.73
Escambia,1441.46,1793.75,2125.34,1738.96,1417.61,1747.74,44.98,306.28,21.00,4,1710.81
Flagler,1380.50,1490.16,1447.55,1485.18,1531.59,1491.58,12.13,111.09,8.00,2,1471.09
Franklin,1419.30,1653.06,1949.25,1670.37,1710.53,1891.29,9.80,471.99,33.00,7,1715.63
Gadsden,1271.15,1557.16,1604.55,1526.33,1554.99,1606.76,68.86,335.61,26.00,5,1520.16
Gilchrist,1529.39,1426.56,1793.37,1416.20,1594.63,1484.49,24.21,-44.90,-3.00,-1,1540.77
Glades,1360.16,1550.46,1320.26,1349.30,1264.11,1438.13,11.87,77.97,6.00,1,1380.41
Gulf,1469.76,1644.56,2152.78,1639.65,1583.07,1765.30,11.93,295.54,20.00,4,1709.19
Hamilton,1252.83,1500.82,1526.15,1337.76,1670.25,1585.42,40.12,332.59,27.00,5,1478.87
Hardee,1412.12,1479.74,1242.06,1604.29,1187.37,1477.08,30.18,64.96,5.00,1,1400.44
Hendry,1435.92,1660.68,1351.69,1449.32,1287.55,1594.29,11.35,158.36,11.00,2,1463.24
Hernando,1714.79,1379.73,1518.31,1479.20,1170.03,1704.17,31.09,-10.62,-1.00,0,1494.37
Highlands,1347.48,1617.85,1321.06,1394.92,1284.81,1393.18,25.97,45.70,3.00,1,1393.22
Hillsborough,1612.31,1509.14,1365.02,1527.42,1090.54,1703.02,24.61,90.70,6.00,1,1467.91
Holmes,1262.55,1851.74,1848.67,1453.95,1445.98,1757.38,43.89,494.83,39.00,8,1603.38
Indian River,1441.84,1696.35,1301.77,1372.57,1514.74,1452.13,10.72,10.29,1.00,0,1463.23
Jackson,1195.66,1653.56,1729.68,1476.32,1352.63,1559.53,46.29,363.87,30.00,6,1494.57
Jefferson,1251.70,1601.51,1708.77,1399.45,1848.03,1699.06,37.73,447.37,36.00,7,1584.75
Lafayette,1467.71,1503.07,1852.42,1357.04,1649.09,1539.70,24.08,71.98,5.00,1,1561.50
Lake,1471.12,1417.57,1350.37,1507.82,1196.09,1493.84,28.80,22.72,2.00,0,1406.14
Lee,1472.15,1565.00,1350.17,1640.70,1145.72,1805.51,8.39,333.36,23.00,5,1496.54
Leon,1319.77,1603.19,1596.98,1496.85,1760.51,1739.66,41.69,419.89,32.00,6,1586.16
